Time,Song,TotalPrice,Message
2025-12-03 21:05:05,"Brazil",,"Sold 0 items"
2025-12-03 21:05:05,"Brazil",,"Sold 0 items"
2025-12-03 21:05:07,"",,"Sold 1 item"
2025-12-03 21:05:19,"Blinding Lights",,"Sold 0 items"
2025-12-03 21:05:19,"Blinding Lights",,"Sold 0 items"
2025-12-03 21:05:21,"",,"Added 1 to inventory"
2025-12-03 21:11:03,"ID 3: Brazil - Declan McKenna",1.93,"Sold 1 item"
2025-12-03 21:11:14,"ID 3: Brazil - Declan McKenna",19.30,"Added 10 to inventory"
2025-12-03 21:11:41,"ID 4: Blinding Lights - The Weeknd",2.35,"Sold 1 item"
2025-12-03 21:26:17,"ID 5: Save Your Tears - The Weeknd",38.40,"Added 20 to ""Save Your Tears"" (id=5). New total: 20."
2025-12-03 21:27:03,"ID 5: Save Your Tears - The Weeknd",36.48,"Sold 19 of ""Save Your Tears"" (id=5). Remaining: 1."
2025-12-03 21:31:43,"ID 5: Save Your Tears - The Weeknd",,"Added 10 to ""Save Your Tears"" (id=5). New total: 11."
2025-12-03 21:31:52,"ID 5: Save Your Tears - The Weeknd",9.60,"Sold 5 of ""Save Your Tears"" (id=5). Remaining: 6."
